recommendationid,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_at_review,author_last_played,language,review,timestamp_created,timestamp_updated,voted_up,comment_count,steam_purchase,hidden_in_steam_china,review_id
149372064,76561198119776708,359,5,14148,13997,1698947000,english,"So at the start of this review, I will admit to something; I played this game initially through not the most moral means. This was back at launch, 1.0 Cyberpunk. At that time, this game was not worth the buy with all its issues. I bought the game when 1.2 came out because, although it had its issues, I still really loved the world and the car design in it.

As patches have came out for this game it has only gotten better and better and better. With the updates to stability and performance coinciding with additional content being added into the game, it has only gone from strength to strength. Now with the 2.0 patch and Phantom Liberty, this game has become an absolute masterpiece for CDPR and, in my opinion, their greatest piece of work to date. For me, this is my favourite game of all time. I cannot express how much I love this game, this world, these characters. It gives me such a feeling of happiness to be my character, having her look exactly how I want her to and go be a hommicidal, car loving lesbian in one of the most stunning city based game worlds I have ever seen brings me such a sense of joy that no game has really done for me.

I love this game to death and I am so glad I bought it back then and stuck with it. Thank you CDPR for sticking with it too and making this game the masterpiece it always could have been",1698931782,1698931782,True,0,True,True,149372064
149371629,76561197983749780,0,6,2684,2634,1698941613,english,"Wake up Samurai, we got a city to burn.

*excited Keanu*",1698931265,1698931265,True,0,True,True,149371629
149369018,76561198060712742,181,13,14822,14729,1698934287,english,this is breathtaking! To the major league chooms!!,1698928060,1698928060,True,0,True,True,149369018
149367318,76561198338316447,0,55,1779,1779,1698925375,english,Panam,1698925835,1698925835,True,0,True,True,149367318
149367237,76561199493151551,0,1,643,280,1698947491,english,awesome world and characters,1698925704,1698925704,True,0,True,True,149367237
149366915,76561199062918546,0,16,19758,19668,1698930828,english,Yes choom,1698925212,1698925212,True,0,True,True,149366915
149360998,76561199174989413,16,5,3972,3972,1697715344,english,"W game, W mechnics, only need multiplayer and number 1 game in the world",1698918204,1698918204,True,0,True,True,149360998
149360887,76561199017101986,0,41,394,394,1698854261,english,it's decent,1698917997,1698917997,True,0,True,True,149360887
149360195,76561199033579818,29,4,2198,1949,1698947810,english,johnny silverhand,1698916682,1698916682,True,0,True,True,149360195
149359930,76561198309970041,267,21,11949,11949,1698916038,english,"Now that we are able to play the game how it was intended its AWESOME!!! when it first came out it was so mid, had to use mods to make it any good. It's now in my top 3 games of all time",1698916194,1698916194,True,0,True,True,149359930
149359906,76561198364342232,152,4,4582,4582,1698946657,english,"rework umiejetnosci i systemu walki na ogromny plus, wszystko jest bardziej dynamiczne i satysfakcojnujace i wkoncu netrunner nie ssie no i tez na ogromny plus zaprzestanie polityki łatania bugow innymi bugami",1698916145,1698916145,True,0,True,True,149359906
149359560,76561198824265871,61,3,4611,4352,1698933238,english,air dash good,1698915472,1698915472,True,0,True,True,149359560
149359502,76561198046416317,0,6,6180,6180,1698915237,english,Really good now with the 2.0 patch and PL DLC,1698915363,1698915363,True,0,True,True,149359502
149359287,76561199399435242,12,2,945,530,1698944306,english,Amazimg,1698914937,1698914937,True,0,True,True,149359287
149359105,76561198062240069,0,4,14828,14828,1698436572,english,"I've loved this game since release. The 2.0 update was absolutely incredible. The Phantom Liberty expansion was beautiful and I just adore this game. It's been stated that there will be a sequel and I am SO STOKED and CAN NOT WAIT for it. Until then I will keep playing this and having an absolute blast. (Bullet time ninja build is my favorite, but I hate cameras when trying to be stealthy)",1698914615,1698914615,True,0,True,True,149359105
149359044,76561197994409296,1186,21,8641,8640,1698916580,english,One of the best video game story I've ever experienced. Never a single dull moment.,1698914481,1698914481,True,0,True,True,149359044
149358646,76561198067390585,104,1,15455,15455,1698913377,english,You'd be a gonk to not play it,1698913696,1698913829,True,0,True,True,149358646
149358644,76561199175923190,366,23,1705,1705,1698909741,english,"This game is without any doubt one of the most graphically impressive games i have ever played.This game does a good job giving choices to player that may effect how u experience this masterpiece,it may even  lock u out of major chunk of content according to ur choices.but i recommend to play and make decision how u normally would in real life even if it raises the chances of major chunk of content getting locked away. U can always experience the left out content in your second playthrough or loading up a saved file from the past.Everything about this game amazes me especially how beautiful the night city is,the combat,the weapon variety and designs ,the progression system,how u can literally turn yourself into a living terminator with help of cyberwares ....everything is perfect.This is a must play

9/10",1698913692,1698913692,True,0,True,True,149358644
149358550,76561199085167912,0,20,9109,8972,1698948320,english,I Love the game and story lots of gameplay and story as well happy i got it on sale,1698913508,1698913508,True,0,True,True,149358550
149358247,76561197968640478,0,37,11494,11494,1698911746,english,"Now that the game is almost completely fixed up (I had quite a few crashes still, but never lost more than a couple minutes of progress, all tolerable)  rebalanced, and with new DLC added, I can finally say this game is very enjoyable and worth the price.  
My advise for anyone who wants to go remotely fast, definitely put points in reflex, with 20 points not being a waste.  Dashing everywhere is so incredibly satisfying both during and out of combat, as well as time saving.

I already completed the game once when patch 1.5 came out, and had my fun.
After starting fresh with the new patch 2.0 and beyond, I can safely say this game was very enjoyable, if ultimately quite easy.  Beat the game entirely on Very Hard with only the early game being a bit touch at times.  It fulfills that power fantasy itch very well.

My visible complaint is (aside from the crashes) that there are still some blueprints and gear that you just can't return to go get when you miss them, when I feel you really should be able to (quest specific path gear notwithstanding).
My only other complaint is the Second Heart cyberware not working when i fall to my death... it [b] literally [/b] says it prevents death upon hitting 0 health... but falling death is exempt?  Get outta here with that bullcrap.  While falling deaths never happened to me by mid-late game, it urked the hell out of me early on.

My only major complaint is DLC spoiler territory, and I guess its fairly minor all things considered as I liked 95% of the DLC content:  [spoiler] I absolutely hated the mock Alien Isolation section of the game at the end of the DLC.  Here is my absolute monstrosity of a character, nigh unkillable... and you put a one-shot, ultra speed AI Killbot with no counter play other than hiding like a wimp?!  And once again, my second heart means nothing...  What is wrong with you CD Project?!  Way to kill the pacing real hard with that section when playing as any type of character other than stealthy mchidegood. [/spoiler]

Overall, I still recommend this game, especially when on sale.",1698912848,1698912848,True,0,True,True,149358247
149357890,76561198098444316,0,4,7165,7165,1698910263,english,knife arms :D,1698912130,1698912130,True,0,True,True,149357890
149357374,76561199138042249,0,1,5010,4829,1698921950,english,This game is amazing I have done 3 other play throughs on google stadia when it first came out it was awesome then and its still awesome now with update 2.0. Keep on playing chooms!!!!!,1698911017,1698911017,True,0,True,True,149357374
149356847,76561198120992799,492,75,2669,2669,1698909519,english,Just fucking incredible.,1698909841,1698909841,True,0,True,True,149356847
149356318,76561198420436791,0,6,4417,4210,1698921244,english,1,1698908818,1698908818,True,0,True,True,149356318
149354858,76561198866978554,37,3,148,148,1698905531,english,"(walks out of my home in .5 seconds)
Whoa! Cyberpunk 2077 has flatlined.
Exception Access Violation

Fantastic game!

",1698905667,1698905667,True,0,True,True,149354858
149354171,76561198338961192,0,13,2761,2650,1698944034,english,Latest patch is definitely how Cyberpunk was supposed to be on Day 1. This game is great. The DLC is Amazing. Full of tough choices as you should expect from the company that made The Witcher 3. This might be one of the best apology coming from any game company ever.,1698904198,1698904198,True,0,True,True,149354171
149354095,76561198139388723,207,4,29819,29783,1698906422,english,"8/10
Don't expect a masterpiece, but do expect a positive experience.",1698904031,1698904031,True,0,True,True,149354095
149353479,76561197974415652,0,2,27581,27505,1698907313,english,Best story line EVER!!! And an AMAZING city to explore!!!,1698902698,1698902698,True,0,True,True,149353479
149352652,76561198371452948,59,4,4794,4794,1698650995,english,Amazing game,1698901027,1698901027,True,0,True,True,149352652
149352584,76561197977432532,0,18,7879,7879,1698900773,english,I had a blast playing this game.,1698900903,1698900903,True,0,True,True,149352584
149352047,76561198978251911,83,1,14748,14646,1698905713,english,"i have genuinely enjoyed this game, yes, it buggy sometimes, yes it may feel a little rushed at times, but i genuinely enjoyed about 90% of the game, this is my 2nd playthrough of the game, i just got phantom liberty, and i very very much recommend it. it was the best ive ever seen cyberpunk in every category",1698899791,1698899791,True,0,True,True,149352047
149352027,76561198286754701,0,3,39018,39018,1698867492,english,Amazing game cant get enough of it. Dont listen to everyone else and try for yourself,1698899738,1698899738,True,0,True,True,149352027
149351971,76561198873029998,0,1,295,295,1698857505,english,"great game! super immersive and techy- love it
",1698899627,1698899627,True,0,True,True,149351971
149351958,76561198447802424,93,16,4743,4743,1698806362,english,"GOOD
",1698899591,1698899591,True,0,True,True,149351958
149351593,76561198983291809,0,3,12563,12563,1698897377,english,"Really cybers my punk
",1698898932,1698898932,True,0,True,True,149351593
149351072,76561199300046053,0,3,4491,4491,1698302310,english,"You can really see the time and detail they put into improving this game into the near masterpiece it is today. The story is gripping and emotional. The gameplay is fast, brutal and satisfying. If you're at all a fan of the FPS genre then this is a must play!",1698897893,1698897893,True,0,True,True,149351072
149351040,76561198872204613,0,2,1597,1318,1698917889,english,Turned me into a paranoid schizophrenic after watching literally everybody die.,1698897803,1698897803,True,0,True,True,149351040
149350451,76561199077624650,0,4,6832,6832,1698894258,english,Frickin' brilliant game with masterclass storytelling and exceptional gameplay mechanics truly implementing every choice the player makes into making the most ideal experience both lore wise and combat wise. Plus the best part is.. its fixed :D,1698896662,1698896662,True,0,True,True,149350451
149350319,76561198815578209,0,1,7670,7499,1698919852,english,I wish there were more cats,1698896436,1698896436,True,0,True,True,149350319
149350132,76561198800059483,91,13,5363,5153,1698908447,english,cyberballs,1698896141,1698896141,True,0,True,True,149350132
149349926,76561199532354373,0,2,3584,3248,1698941035,english,panams my favorite,1698895805,1698895805,True,0,True,True,149349926
149348984,76561198046915386,0,5,3415,3326,1698899562,english,15/10.,1698894229,1698894229,True,0,True,True,149348984
149348941,76561198304613452,0,6,2238,2238,1697757852,english,"added more depression to my depression. 10/10
Judy all the way",1698894135,1698894135,True,0,True,True,149348941
149348790,76561197980445279,0,9,378,378,1698704547,english,I'm not that far in the story but dam is it good,1698893852,1698893852,True,0,True,True,149348790
149348036,76561197986510997,802,17,17026,17026,1698892244,english,"Came in after watching Edgerunners and really liked how they fixed a lot of the game. Now with 2.0 and Phantom Liberty, the game is straight up good. Though I still would've preferred they got it right on launch",1698892617,1698892628,True,0,True,True,149348036
149347884,76561198328173110,0,4,8949,8504,1698930664,english,"Quality gameplay/gunplay with a truly engaging story/world, highly HIGHLY recommend :)",1698892391,1698892391,True,0,True,True,149347884
149347741,76561198971539812,0,24,8115,8105,1698901205,english,its ok i guess,1698892161,1698892161,True,0,True,True,149347741
149347556,76561199429209803,0,2,4383,4383,1698794011,english,Man Ignore every negetive comment about this game.Trust me you will have litrally an experience of life 50 years ahead.,1698891858,1698891858,True,0,True,True,149347556
149346920,76561198273504985,0,3,5119,4743,1698943338,english,"i absolutely  love cyberpunk 2077, there is always something fun to do in game .. i like the fact that most of the missions are different. plus if your doing side gigs and your required to do it stealthy , but just go in guns blazing instead , your not rewarded with as much cash etc.. 
Night City is a beautiful but deadly place",1698890833,1698890833,True,0,True,True,149346920
149346655,76561198111753534,0,4,539,341,1698917388,english,Love It!!!,1698890398,1698890398,True,0,True,True,149346655
149346652,76561198822948339,0,3,6666,6666,1698815409,english,i mean its alright,1698890392,1698890392,True,0,True,True,149346652
149346645,76561198100203751,119,2,4172,4121,1698893500,english,"One of my all-time favorite games, if not my favorite video game ever. Whether I'm on my PC or my Steam Deck, I know that I will not get bored playing this game. I love everything about it! Amazing game.",1698890384,1698890384,True,0,True,True,149346645
149346099,76561198087219241,0,4,16434,16369,1698893384,english,If you're interested but have been holding out 2.0 and previous updates over the past years have made the game a master piece. Now is an excellent time to dive into Night City.,1698889514,1698889514,True,0,True,True,149346099
149346072,76561198300009292,133,86,632,490,1698925354,english,good game,1698889463,1698889463,True,0,True,True,149346072
149346033,76561199101047894,0,16,556,409,1698900915,english,o-block,1698889405,1698889405,True,0,True,True,149346033
149346021,76561198149635733,345,59,5914,5914,1698886396,english,good game,1698889392,1698889392,True,0,True,True,149346021
149345942,76561198313384485,0,1,6568,6568,1698646225,english,"Decided to give it another try after having played for 45 minutes 2 years ago. I had a blast. The dlc and base game were great and integrated well imo. combat was great, enjoyed the story and the side quests. a lot of the characters are fun and overall I think that I more than got my money out of it.",1698889286,1698889286,True,0,True,True,149345942
149345211,76561199004026344,0,1,654,398,1698945904,english,amazing game,1698888112,1698888112,True,0,True,True,149345211
149344904,76561198312424625,80,9,21734,21581,1698943876,english,"Yes, this game had the worst launch of all time. So much so that I was skeptical about buying it on sale after about patch 1.6 or so. Then 2077 Patch 2.0 dropped and Phantom Liberty along with it.

Do yourself a favor. Buy the fucking game. I'd even spend the full price to get this game in its current state and the modding community just makes it better.",1698887648,1698887648,True,0,True,True,149344904
149344877,76561198004581434,204,5,3762,3506,1698903766,english,"I know there were a lot of issues at launch but holy shit this game is amazing. 

If it had the attention now that it had on launch and the game was in its current state it'd be winning awards nonstop.",1698887607,1698887607,True,0,True,True,149344877
149344408,76561198124613221,0,1,7049,7049,1698723927,english,i've had no issues with this game despite everyone talking ish.. i love it and it has amazing replay value,1698886875,1698886875,True,0,True,True,149344408
149344052,76561199506870955,0,3,3216,3216,1696815858,english,"After playing the disaster that was Cyberpunk on base PS4 when it initially came out, I can now say with full confidence that I would recommend this game to anyone. The game is in a state after many years where the initial vision for the game has been fully realized. Not to mention the story is great, especially with the addition of Phantom Liberty. Honestly, Phantom Liberty fits so seamlessly into the rest of the game that I wouldn't even really consider it DLC, it's more very fleshed out content that's part of the same game. 

TLDR 
Buy the game and Phantom Liberty, they're great 9/10.",1698886347,1698886347,True,0,True,True,149344052
149343456,76561198357291046,0,28,542,141,1698947743,english,it is good,1698885352,1698885352,True,0,True,True,149343456
149343230,76561197960694550,292,35,658,430,1698900589,english,"I find the combat very fun, but the game is still super buggy, and by that I mean I just crashed after doing a stealth takedown as of writing this in a perfectly fine environment without any props to leap everywhere.

textures have messed up a while and in one of the first cutscenes they still T-Posed.

like I said though I really don't care as long as it stops crashing XD some bugs are actually quite funny... I thought they'd be fixed by now though",1698884981,1698884981,True,0,True,True,149343230
149343124,76561198105370644,152,7,5730,5730,1694450454,english,"One of the best games ever! Insane visuals, lots of weapons and skills, and a great soundtrack. Two best builds are: Double shotgun with a katana or LMG, shotgun, and katana! David? Coolest guy. One of the most unique worlds and environments in all of media.",1698884835,1698884835,True,0,True,True,149343124
149342649,76561199551147042,0,1,3767,3745,1698888111,english,me like sex,1698884099,1698884099,True,0,True,True,149342649
149341582,76561198130625722,0,3,558,457,1698888550,english,"great story, graphics, customization of character and awesome role-play potential.",1698882441,1698882441,True,0,True,True,149341582
149341508,76561198126735928,0,39,6196,6196,1697772527,english,"This video game is set in a cruel dystopian world. Nothing is off limits. Even the sacred crime ""bass to mouth"" and ""ass to trout"". You play as V, a massage therapist at an asian massage parlor. One day you were just working, giving men the bj of their dreams, taking it up the stank box from 5 black guys, you know the usual. Everything is fine until Keanu Reaves shows up. He beats you up, but you feel no pain. Because this is all actually a dream! You wake up in a field full of mud and corpses. Keanu Reaves is wearing a speedo and walks up to you. He says ""Wake the fuck up Soldier, we've got a war to fight"". It is after this you discover, that you are on the front lines in the Isreal vs Palestine war. You must choose a side or you will be cancelled on twitter. This game is great 8/10",1698882347,1698882347,True,0,True,True,149341508
149341505,76561197979958514,300,6,18890,18890,1698882278,english,"84 Hour 100% Playthrough completed.
Now time for the Post-CP2077 Blues.",1698882344,1698882344,True,0,True,True,149341505
149341410,76561199437839921,6,3,7444,7047,1698947226,english,"This game is amazing. The story, graphics are amazing.",1698882179,1698882179,True,0,True,True,149341410
